date,views,unique_visitors,clones,unique_cloners
2026-08-12,0,0,0,0
2026-08-13,0,0,0,0
2026-08-14,0,0,0,0
2026-08-15,0,0,0,0
2026-08-16,0,0,0,0
2026-08-17,81,1,0,0
2026-08-18,85,9,1,1
2026-08-19,35,1,0,0
2026-08-20,17,1,0,0
2026-08-21,78,2,6,4
2026-08-22,46,1,1,1
2026-08-23,30,9,2,2
2026-08-24,32,2,2,2
2026-08-25,14,1,1,1
2026-08-26,30,1,3,2
2026-08-27,39,1,4,3
2026-08-28,11,1,11,6
2026-08-29,18,1,4,3
2026-08-30,61,5,3,2
2026-08-31,49,3,4,3
2026-09-01,10,1,2,1
2026-09-02,12,1,12,7
